session_id,user_id,variant,session_duration,pages_visited,persona,base_interact,variant_boost,interacted_with_panel,p_engage,engaged,p_add,added_to_cart,p_conv,converted,engagement_score,time_to_conversion
39,12560,A,67,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,5.58333333333333,NA
40,5060,A,55,2,DealHunter,0.18,0,0,0.14,0,0,0,0,0,1.83333333333333,NA
41,14025,A,144,5,DealHunter,0.18,0,0,0.2,0,0,0,0,0,12,NA
42,1370,B,5,4,Explorer,0.05,0.07,0,0.18,1,0.05,0,0,0,0.333333333333333,NA
43,14130,A,25,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,2.5,NA
44,8344,B,21,2,Explorer,0.05,0.07,0,0.14,0,0,0,0,0,0.7,NA
45,2186,B,470,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,31.3333333333333,NA
46,14704,B,44,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,3.66666666666667,NA
47,1785,A,133,5,Explorer,0.05,0,1,0.5,1,0.25,0,0,0,22.1666666666667,NA
48,14852,A,64,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,4.26666666666667,NA
49,5743,A,28,5,Explorer,0.05,0,0,0.2,0,0,0,0,0,2.33333333333333,NA
50,6590,B,117,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,11.7,NA
51,751,A,17,4,TargetedShopper,0.15,0,1,0.48,0,0,0,0,0,2.26666666666667,NA
52,617,B,73,8,Explorer,0.05,0.07,0,0.26,1,0.05,0,0,0,9.73333333333333,NA
53,1332,A,15,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,1.25,NA
54,13461,B,271,3,Explorer,0.05,0.07,0,0.16,1,0.05,0,0,0,13.55,NA
55,2476,B,132,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,11,NA
56,9442,B,26,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,2.16666666666667,NA
57,3909,A,46,6,DealHunter,0.18,0,1,0.52,0,0,0,0,0,9.2,NA
58,3287,A,145,8,Explorer,0.05,0,0,0.26,0,0,0,0,0,19.3333333333333,NA
59,1967,A,99,9,DealHunter,0.18,0,0,0.28,0,0,0,0,0,14.85,NA
60,124,B,214,7,TargetedShopper,0.15,0.07,1,0.54,0,0,0,0,0,49.9333333333333,NA
61,7445,A,78,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,5.2,NA
62,12199,A,103,1,DealHunter,0.18,0,0,0.12,0,0,0,0,0,1.71666666666667,NA
63,647,A,60,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,4,NA
64,11550,A,21,2,DealHunter,0.18,0,0,0.14,0,0,0,0,0,0.7,NA
65,5160,B,40,4,Explorer,0.05,0.07,1,0.48,1,0.25,1,0.32,1,5.33333333333333,39.5855598221533
66,8699,B,26,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,2.6,NA
67,6757,A,121,5,TargetedShopper,0.15,0,0,0.2,1,0.05,0,0,0,10.0833333333333,NA
68,2957,A,126,3,HighIntent,0.3,0,1,0.46,1,0.25,0,0,0,12.6,NA
69,14570,A,85,7,Explorer,0.05,0,0,0.24,0,0,0,0,0,9.91666666666667,NA
70,4008,A,49,5,TargetedShopper,0.15,0,1,0.5,0,0,0,0,0,8.16666666666667,NA
71,12537,B,135,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,6.75,NA
72,5752,A,84,3,DealHunter,0.18,0,0,0.16,0,0,0,0,0,4.2,NA
73,11843,B,121,9,TargetedShopper,0.15,0.07,0,0.28,0,0,0,0,0,18.15,NA
74,8571,A,67,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,6.7,NA
75,8493,B,15,7,Explorer,0.05,0.07,0,0.24,1,0.05,0,0,0,1.75,NA
76,4010,A,37,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,2.46666666666667,NA
77,6172,B,22,4,HighIntent,0.3,0.07,1,0.48,0,0,0,0,0,2.93333333333333,NA
78,5191,B,69,4,DealHunter,0.18,0.07,1,0.48,1,0.25,0,0,0,9.2,NA
79,12428,B,36,6,DealHunter,0.18,0.07,0,0.22,0,0,0,0,0,3.6,NA
80,1276,B,64,2,DealHunter,0.18,0.07,0,0.14,1,0.05,0,0,0,2.13333333333333,NA
81,5253,B,65,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,5.41666666666667,NA
82,10517,A,23,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,2.3,NA
83,5065,B,137,7,Explorer,0.05,0.07,0,0.24,0,0,0,0,0,15.9833333333333,NA
84,7682,B,123,6,Explorer,0.05,0.07,1,0.52,1,0.25,1,0.32,0,24.6,NA
85,5400,A,262,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,26.2,NA
86,9044,A,59,3,Explorer,0.05,0,0,0.16,1,0.05,0,0,0,2.95,NA
87,9188,B,83,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,6.91666666666667,NA
88,8849,B,113,7,Explorer,0.05,0.07,1,0.54,1,0.25,1,0.32,1,26.3666666666667,46.028293594718
89,5268,B,18,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,1.2,NA
90,168,B,18,4,Explorer,0.05,0.07,1,0.48,1,0.25,1,0.32,1,2.4,NA
91,13862,B,36,6,TargetedShopper,0.15,0.07,1,0.52,0,0,0,0,0,7.2,NA
92,13632,A,260,5,TargetedShopper,0.15,0,1,0.5,0,0,0,0,0,43.3333333333333,NA
93,6154,A,101,1,Explorer,0.05,0,0,0.12,1,0.05,0,0,0,1.68333333333333,NA
94,2311,A,50,1,TargetedShopper,0.15,0,0,0.12,1,0.05,0,0,0,0.833333333333333,NA
95,7054,A,139,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,13.9,NA
96,5402,B,22,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,1.46666666666667,NA
97,2687,B,353,4,TargetedShopper,0.15,0.07,1,0.48,1,0.25,0,0,0,47.0666666666667,NA
98,2558,B,47,4,TargetedShopper,0.15,0.07,0,0.18,1,0.05,0,0,0,3.13333333333333,NA
99,250,B,22,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,2.2,NA
100,14773,B,45,9,DealHunter,0.18,0.07,1,0.58,1,0.25,1,0.32,0,13.5,NA
101,11003,B,59,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,6.88333333333333,NA
102,13085,A,17,2,Explorer,0.05,0,0,0.14,0,0,0,0,0,0.566666666666667,NA
103,11180,A,84,3,DealHunter,0.18,0,0,0.16,1,0.05,0,0,0,4.2,NA
104,11305,B,100,6,DealHunter,0.18,0.07,1,0.52,0,0,0,0,0,20,NA
105,12177,B,131,7,Explorer,0.05,0.07,0,0.24,0,0,0,0,0,15.2833333333333,NA
106,14314,A,154,4,TargetedShopper,0.15,0,1,0.48,0,0,0,0,0,20.5333333333333,NA
107,9257,A,98,1,DealHunter,0.18,0,0,0.12,0,0,0,0,0,1.63333333333333,NA
108,13981,B,145,6,Explorer,0.05,0.07,0,0.22,1,0.05,0,0,0,14.5,NA
109,12164,B,40,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,2,NA
110,9721,B,17,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,1.13333333333333,NA
111,14365,B,193,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,19.3,NA
112,7270,A,185,9,DealHunter,0.18,0,0,0.28,0,0,0,0,0,27.75,NA
113,1790,A,27,3,TargetedShopper,0.15,0,0,0.16,0,0,0,0,0,1.35,NA
114,1722,A,70,3,TargetedShopper,0.15,0,1,0.46,1,0.25,0,0,0,7,NA
115,6093,A,14,0,Explorer,0.05,0,0,0.1,1,0.05,0,0,0,0,NA
116,8253,B,36,6,DealHunter,0.18,0.07,1,0.52,1,0.25,0,0,0,7.2,NA
117,9387,B,15,2,TargetedShopper,0.15,0.07,1,0.44,0,0,0,0,0,1,NA
118,10444,B,69,3,TargetedShopper,0.15,0.07,1,0.46,0,0,0,0,0,6.9,NA
119,8970,A,24,8,HighIntent,0.3,0,0,0.26,0,0,0,0,0,3.2,NA
120,12159,A,118,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,11.8,NA
121,5109,A,39,4,TargetedShopper,0.15,0,1,0.48,0,0,0,0,0,5.2,NA
122,3799,A,21,5,DealHunter,0.18,0,0,0.2,0,0,0,0,0,1.75,NA
123,10453,B,70,5,HighIntent,0.3,0.07,1,0.5,1,0.25,0,0,0,11.6666666666667,NA
124,12592,A,76,7,TargetedShopper,0.15,0,0,0.24,0,0,0,0,0,8.86666666666667,NA
125,1638,B,20,9,Explorer,0.05,0.07,0,0.28,0,0,0,0,0,3,NA
126,71,A,288,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,19.2,NA
127,8810,B,50,5,TargetedShopper,0.15,0.07,1,0.5,1,0.25,0,0,0,8.33333333333333,NA
128,8338,A,11,6,HighIntent,0.3,0,0,0.22,0,0,0,0,0,1.1,NA
129,7827,A,299,3,HighIntent,0.3,0,0,0.16,1,0.05,0,0,0,14.95,NA
130,9314,A,174,8,DealHunter,0.18,0,0,0.26,0,0,0,0,0,23.2,NA
131,10311,B,46,8,TargetedShopper,0.15,0.07,0,0.26,1,0.05,0,0,0,6.13333333333333,NA
132,2355,B,209,5,DealHunter,0.18,0.07,1,0.5,1,0.25,1,0.32,0,34.8333333333333,NA
133,4363,B,62,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,7.23333333333333,NA
134,8823,A,76,8,DealHunter,0.18,0,0,0.26,0,0,0,0,0,10.133333333333301,NA
135,10864,B,410,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,47.8333333333333,NA
136,13738,B,206,8,DealHunter,0.18,0.07,0,0.26,0,0,0,0,0,27.4666666666667,NA
137,12095,A,25,4,DealHunter,0.18,0,0,0.18,1,0.05,0,0,0,1.66666666666667,NA
138,2563,A,58,7,Explorer,0.05,0,0,0.24,0,0,0,0,0,6.76666666666667,NA
139,5657,B,413,5,DealHunter,0.18,0.07,1,0.5,0,0,0,0,0,68.8333333333333,NA
140,3587,A,39,2,TargetedShopper,0.15,0,1,0.44,1,0.25,0,0,0,2.6,NA
141,1872,B,81,3,Explorer,0.05,0.07,0,0.16,1,0.05,0,0,0,4.05,NA
142,7354,B,34,10,Explorer,0.05,0.07,0,0.3,1,0.05,0,0,0,5.66666666666667,NA
143,6920,A,21,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,1.05,NA
144,4995,A,28,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,2.33333333333333,NA
145,8406,A,32,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,1.6,NA
146,8468,B,63,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,3.15,NA
147,3753,A,91,8,TargetedShopper,0.15,0,0,0.26,1,0.05,0,0,0,12.133333333333301,NA
148,14050,B,56,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,4.66666666666667,NA
149,469,B,61,6,Explorer,0.05,0.07,0,0.22,1,0.05,0,0,0,6.1,NA
150,11613,A,47,3,Explorer,0.05,0,0,0.16,1,0.05,0,0,0,2.35,NA
151,292,A,113,3,DealHunter,0.18,0,0,0.16,0,0,0,0,0,5.65,NA
152,5964,A,254,8,Explorer,0.05,0,0,0.26,0,0,0,0,0,33.8666666666667,NA
153,1503,A,82,5,DealHunter,0.18,0,0,0.2,1,0.05,0,0,0,6.83333333333333,NA
154,14238,B,100,5,HighIntent,0.3,0.07,0,0.2,0,0,0,0,0,8.33333333333333,NA
155,2613,A,33,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,1.65,NA
156,13541,B,47,11,TargetedShopper,0.15,0.07,0,0.32,0,0,0,0,0,8.61666666666667,NA
157,2211,B,101,6,TargetedShopper,0.15,0.07,1,0.52,0,0,0,0,0,20.2,NA
158,1250,A,49,3,Explorer,0.05,0,1,0.46,0,0,0,0,0,4.9,NA
159,3408,A,60,2,TargetedShopper,0.15,0,0,0.14,0,0,0,0,0,2,NA
160,2039,A,59,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,3.93333333333333,NA
161,8296,B,20,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,1.66666666666667,NA
162,5201,B,30,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,2.5,NA
163,14599,A,58,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,3.86666666666667,NA
164,5489,A,72,7,TargetedShopper,0.15,0,0,0.24,1,0.05,0,0,0,8.4,NA
165,1951,B,26,1,TargetedShopper,0.15,0.07,0,0.12,0,0,0,0,0,0.433333333333333,NA
166,3331,A,114,5,Explorer,0.05,0,0,0.2,0,0,0,0,0,9.5,NA
167,7775,B,23,4,HighIntent,0.3,0.07,0,0.18,0,0,0,0,0,1.53333333333333,NA
168,2899,B,184,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,12.2666666666667,NA
169,1282,A,38,6,DealHunter,0.18,0,0,0.22,0,0,0,0,0,3.8,NA
170,9626,A,62,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,4.13333333333333,NA
171,6307,B,32,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,2.13333333333333,NA
172,373,A,41,8,DealHunter,0.18,0,1,0.56,1,0.25,1,0.32,0,10.9333333333333,NA
173,7712,B,46,5,HighIntent,0.3,0.07,0,0.2,1,0.05,0,0,0,3.83333333333333,NA
174,7551,B,94,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,6.26666666666667,NA
175,1206,A,111,6,HighIntent,0.3,0,0,0.22,0,0,0,0,0,11.1,NA
176,9288,B,105,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,10.5,NA
177,3078,A,76,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,5.06666666666667,NA
178,5164,A,101,8,DealHunter,0.18,0,0,0.26,0,0,0,0,0,13.4666666666667,NA
179,12884,B,79,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,3.95,NA
180,12870,A,142,4,HighIntent,0.3,0,0,0.18,0,0,0,0,0,9.46666666666667,NA
181,11873,B,59,6,DealHunter,0.18,0.07,1,0.52,1,0.25,0,0,0,11.8,NA
182,5391,B,69,5,HighIntent,0.3,0.07,1,0.5,1,0.25,0,0,0,11.5,NA
183,13662,B,115,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,7.66666666666667,NA
184,10752,B,72,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,8.4,NA
185,3675,A,36,6,TargetedShopper,0.15,0,0,0.22,1,0.05,0,0,0,3.6,NA
186,8999,A,90,5,Explorer,0.05,0,0,0.2,1,0.05,0,0,0,7.5,NA
187,5952,B,45,12,TargetedShopper,0.15,0.07,0,0.34,0,0,0,0,0,9,NA
188,2773,B,93,2,TargetedShopper,0.15,0.07,0,0.14,0,0,0,0,0,3.1,NA
189,4336,B,57,6,HighIntent,0.3,0.07,1,0.52,1,0.25,0,0,0,11.4,NA
190,4241,B,104,3,Explorer,0.05,0.07,0,0.16,1,0.05,0,0,0,5.2,NA
191,832,A,86,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,5.73333333333333,NA
192,10640,A,105,8,TargetedShopper,0.15,0,0,0.26,1,0.05,0,0,0,14,NA
193,9313,B,48,5,Explorer,0.05,0.07,0,0.2,1,0.05,0,0,0,4,NA
194,9704,A,69,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,4.6,NA
195,3562,A,43,6,TargetedShopper,0.15,0,1,0.52,0,0,0,0,0,8.6,NA
196,4104,B,186,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,9.3,NA
197,9184,B,115,6,Explorer,0.05,0.07,0,0.22,1,0.05,0,0,0,11.5,NA
198,4719,B,126,2,HighIntent,0.3,0.07,1,0.44,0,0,0,0,0,8.4,NA
199,6249,B,125,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,10.4166666666667,NA
200,4660,A,74,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,7.4,NA
201,1924,B,72,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,7.2,NA
202,13899,B,78,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,5.2,NA
203,4138,A,56,5,HighIntent,0.3,0,0,0.2,0,0,0,0,0,4.66666666666667,NA
204,7503,A,258,4,DealHunter,0.18,0,1,0.48,1,0.25,0,0,0,34.4,NA
205,10998,B,188,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,9.4,NA
206,9692,B,46,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,3.06666666666667,NA
207,11072,B,37,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,1.85,NA
208,4856,A,80,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,5.33333333333333,NA
209,4340,A,113,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,7.53333333333333,NA
210,8814,B,40,5,HighIntent,0.3,0.07,0,0.2,0,0,0,0,0,3.33333333333333,NA
211,14051,A,126,7,TargetedShopper,0.15,0,0,0.24,0,0,0,0,0,14.7,NA
212,10734,A,53,6,DealHunter,0.18,0,0,0.22,0,0,0,0,0,5.3,NA
213,3159,B,167,2,TargetedShopper,0.15,0.07,1,0.44,0,0,0,0,0,11.133333333333301,NA
214,3131,A,54,3,DealHunter,0.18,0,0,0.16,0,0,0,0,0,2.7,NA
215,404,A,75,2,DealHunter,0.18,0,0,0.14,0,0,0,0,0,2.5,NA
216,11821,B,57,8,DealHunter,0.18,0.07,1,0.56,1,0.25,0,0,0,15.2,NA
217,11304,B,103,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,5.15,NA
218,12461,B,52,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,5.2,NA
219,11572,A,59,5,HighIntent,0.3,0,1,0.5,1,0.25,0,0,0,9.83333333333333,NA
220,11449,A,195,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,16.25,NA
221,4810,A,66,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,4.4,NA
222,5537,B,224,7,Explorer,0.05,0.07,0,0.24,0,0,0,0,0,26.1333333333333,NA
223,6324,A,17,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,1.41666666666667,NA
224,4438,A,12,5,DealHunter,0.18,0,0,0.2,0,0,0,0,0,1,NA
225,11791,A,277,3,TargetedShopper,0.15,0,0,0.16,0,0,0,0,0,13.85,NA
226,2414,A,211,2,DealHunter,0.18,0,0,0.14,1,0.05,0,0,0,7.03333333333333,NA
227,5653,A,98,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,8.16666666666667,NA
228,14163,A,134,3,HighIntent,0.3,0,0,0.16,0,0,0,0,0,6.7,NA
229,230,B,106,7,Explorer,0.05,0.07,0,0.24,1,0.05,0,0,0,12.3666666666667,NA
230,4899,A,160,2,Explorer,0.05,0,0,0.14,1,0.05,0,0,0,5.33333333333333,NA
231,13757,B,49,7,Explorer,0.05,0.07,1,0.54,0,0,0,0,0,11.4333333333333,NA
232,14428,A,81,8,TargetedShopper,0.15,0,0,0.26,0,0,0,0,0,10.8,NA
233,1368,B,31,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,2.58333333333333,NA
234,14158,A,165,6,HighIntent,0.3,0,0,0.22,0,0,0,0,0,16.5,NA
235,227,B,55,10,Explorer,0.05,0.07,0,0.3,0,0,0,0,0,9.16666666666667,NA
236,7062,B,71,6,Explorer,0.05,0.07,1,0.52,1,0.25,1,0.32,0,14.2,NA
237,14838,A,23,4,DealHunter,0.18,0,0,0.18,1,0.05,0,0,0,1.53333333333333,NA
238,13272,A,182,9,TargetedShopper,0.15,0,0,0.28,1,0.05,0,0,0,27.3,NA
239,6862,A,42,7,HighIntent,0.3,0,0,0.24,0,0,0,0,0,4.9,NA
240,43,A,64,9,DealHunter,0.18,0,0,0.28,0,0,0,0,0,9.6,NA
241,2250,B,33,5,DealHunter,0.18,0.07,1,0.5,1,0.25,0,0,0,5.5,NA
242,10613,A,26,6,DealHunter,0.18,0,0,0.22,0,0,0,0,0,2.6,NA
243,13162,B,46,4,DealHunter,0.18,0.07,0,0.18,0,0,0,0,0,3.06666666666667,NA
244,9708,B,330,6,TargetedShopper,0.15,0.07,0,0.22,1,0.05,0,0,0,33,NA
245,14003,A,142,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,9.46666666666667,NA
246,9840,A,152,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,15.2,NA
247,3441,A,58,3,HighIntent,0.3,0,0,0.16,0,0,0,0,0,2.9,NA
248,10759,B,72,3,TargetedShopper,0.15,0.07,1,0.46,0,0,0,0,0,7.2,NA
249,10114,B,64,7,TargetedShopper,0.15,0.07,0,0.24,0,0,0,0,0,7.46666666666667,NA
250,14221,A,126,9,HighIntent,0.3,0,0,0.28,0,0,0,0,0,18.9,NA
251,2547,A,96,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,6.4,NA
252,7951,A,72,8,DealHunter,0.18,0,0,0.26,1,0.05,0,0,0,9.6,NA
253,10689,B,46,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,4.6,NA
254,6400,A,59,6,Explorer,0.05,0,0,0.22,1,0.05,0,0,0,5.9,NA
255,11910,B,91,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,9.1,NA
256,1661,B,29,1,TargetedShopper,0.15,0.07,1,0.42,1,0.25,0,0,0,0.966666666666667,NA
257,9458,B,157,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,15.7,NA
258,14469,B,97,8,HighIntent,0.3,0.07,0,0.26,1,0.05,0,0,0,12.9333333333333,NA
259,4325,A,49,9,TargetedShopper,0.15,0,0,0.28,0,0,0,0,0,7.35,NA
260,4115,B,101,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,5.05,NA
261,10981,A,46,10,DealHunter,0.18,0,0,0.3,0,0,0,0,0,7.66666666666667,NA
262,8663,A,25,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,1.25,NA
263,13744,A,108,4,Explorer,0.05,0,0,0.18,1,0.05,0,0,0,7.2,NA
264,14565,A,38,7,Explorer,0.05,0,1,0.54,0,0,0,0,0,8.86666666666667,NA
265,10984,A,139,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,13.9,NA
266,14257,B,75,3,HighIntent,0.3,0.07,1,0.46,0,0,0,0,0,7.5,NA
267,12834,A,255,12,TargetedShopper,0.15,0,0,0.34,0,0,0,0,0,51,NA
268,7610,A,87,9,TargetedShopper,0.15,0,0,0.28,0,0,0,0,0,13.05,NA
269,14507,B,83,2,Explorer,0.05,0.07,0,0.14,1,0.05,0,0,0,2.76666666666667,NA
270,2980,A,125,5,Explorer,0.05,0,0,0.2,0,0,0,0,0,10.4166666666667,NA
271,9808,B,61,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,6.1,NA
272,6594,A,22,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,2.2,NA
273,8407,B,114,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,11.4,NA
274,12735,B,37,8,DealHunter,0.18,0.07,0,0.26,0,0,0,0,0,4.93333333333333,NA
275,3218,A,121,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,6.05,NA
276,3033,A,62,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,4.13333333333333,NA
277,5134,A,36,8,TargetedShopper,0.15,0,0,0.26,0,0,0,0,0,4.8,NA
278,12516,A,76,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,5.06666666666667,NA
279,13784,B,48,9,Explorer,0.05,0.07,0,0.28,0,0,0,0,0,7.2,NA
