session_id,user_id,variant,session_duration,pages_visited,persona,base_interact,variant_boost,interacted_with_panel,p_engage,engaged,p_add,added_to_cart,p_conv,converted,engagement_score,time_to_conversion,session_depth,engagement_level,visited,add_to_cart,conversion
94,2311,A,50,1,TargetedShopper,0.15,0,0,0.12,1,0.05,0,0,0,0.833333333333333,NA,1,Low,1,0,0
95,7054,A,139,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,13.9,NA,6,Low,1,0,0
96,5402,B,22,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,1.46666666666667,NA,4,Low,1,0,0
97,2687,B,353,4,TargetedShopper,0.15,0.07,1,0.48,1,0.25,0,0,0,47.0666666666667,NA,8,Low,1,0,0
98,2558,B,47,4,TargetedShopper,0.15,0.07,0,0.18,1,0.05,0,0,0,3.13333333333333,NA,4,Low,1,0,0
99,250,B,22,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,2.2,NA,6,Low,1,0,0
100,14773,B,45,9,DealHunter,0.18,0.07,1,0.58,1,0.25,1,0.32,0,13.5,NA,18,Low,1,1,0
101,11003,B,59,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,6.88333333333333,NA,7,Low,1,0,0
102,13085,A,17,2,Explorer,0.05,0,0,0.14,0,0,0,0,0,0.566666666666667,NA,2,Low,1,0,0
103,11180,A,84,3,DealHunter,0.18,0,0,0.16,1,0.05,0,0,0,4.2,NA,3,Low,1,0,0
104,11305,B,100,6,DealHunter,0.18,0.07,1,0.52,0,0,0,0,0,20,NA,12,Low,1,0,0
105,12177,B,131,7,Explorer,0.05,0.07,0,0.24,0,0,0,0,0,15.2833333333333,NA,7,Low,1,0,0
106,14314,A,154,4,TargetedShopper,0.15,0,1,0.48,0,0,0,0,0,20.5333333333333,NA,8,Low,1,0,0
107,9257,A,98,1,DealHunter,0.18,0,0,0.12,0,0,0,0,0,1.63333333333333,NA,1,Low,1,0,0
108,13981,B,145,6,Explorer,0.05,0.07,0,0.22,1,0.05,0,0,0,14.5,NA,6,Low,1,0,0
109,12164,B,40,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,2,NA,3,Low,1,0,0
110,9721,B,17,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,1.13333333333333,NA,4,Low,1,0,0
111,14365,B,193,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,19.3,NA,6,Low,1,0,0
112,7270,A,185,9,DealHunter,0.18,0,0,0.28,0,0,0,0,0,27.75,NA,9,Low,1,0,0
113,1790,A,27,3,TargetedShopper,0.15,0,0,0.16,0,0,0,0,0,1.35,NA,3,Low,1,0,0
114,1722,A,70,3,TargetedShopper,0.15,0,1,0.46,1,0.25,0,0,0,7,NA,6,Low,1,0,0
115,6093,A,14,0,Explorer,0.05,0,0,0.1,1,0.05,0,0,0,0,NA,0,Low,1,0,0
116,8253,B,36,6,DealHunter,0.18,0.07,1,0.52,1,0.25,0,0,0,7.2,NA,12,Low,1,0,0
117,9387,B,15,2,TargetedShopper,0.15,0.07,1,0.44,0,0,0,0,0,1,NA,4,Low,1,0,0
118,10444,B,69,3,TargetedShopper,0.15,0.07,1,0.46,0,0,0,0,0,6.9,NA,6,Low,1,0,0
119,8970,A,24,8,HighIntent,0.3,0,0,0.26,0,0,0,0,0,3.2,NA,8,Low,1,0,0
120,12159,A,118,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,11.8,NA,6,Low,1,0,0
121,5109,A,39,4,TargetedShopper,0.15,0,1,0.48,0,0,0,0,0,5.2,NA,8,Low,1,0,0
122,3799,A,21,5,DealHunter,0.18,0,0,0.2,0,0,0,0,0,1.75,NA,5,Low,1,0,0
123,10453,B,70,5,HighIntent,0.3,0.07,1,0.5,1,0.25,0,0,0,11.6666666666667,NA,10,Low,1,0,0
124,12592,A,76,7,TargetedShopper,0.15,0,0,0.24,0,0,0,0,0,8.86666666666667,NA,7,Low,1,0,0
125,1638,B,20,9,Explorer,0.05,0.07,0,0.28,0,0,0,0,0,3,NA,9,Low,1,0,0
126,71,A,288,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,19.2,NA,4,Low,1,0,0
127,8810,B,50,5,TargetedShopper,0.15,0.07,1,0.5,1,0.25,0,0,0,8.33333333333333,NA,10,Low,1,0,0
128,8338,A,11,6,HighIntent,0.3,0,0,0.22,0,0,0,0,0,1.1,NA,6,Low,1,0,0
129,7827,A,299,3,HighIntent,0.3,0,0,0.16,1,0.05,0,0,0,14.95,NA,3,Low,1,0,0
130,9314,A,174,8,DealHunter,0.18,0,0,0.26,0,0,0,0,0,23.2,NA,8,Low,1,0,0
131,10311,B,46,8,TargetedShopper,0.15,0.07,0,0.26,1,0.05,0,0,0,6.13333333333333,NA,8,Low,1,0,0
132,2355,B,209,5,DealHunter,0.18,0.07,1,0.5,1,0.25,1,0.32,0,34.8333333333333,NA,10,Low,1,1,0
133,4363,B,62,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,7.23333333333333,NA,7,Low,1,0,0
134,8823,A,76,8,DealHunter,0.18,0,0,0.26,0,0,0,0,0,10.133333333333301,NA,8,Low,1,0,0
135,10864,B,410,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,47.8333333333333,NA,7,Low,1,0,0
136,13738,B,206,8,DealHunter,0.18,0.07,0,0.26,0,0,0,0,0,27.4666666666667,NA,8,Low,1,0,0
137,12095,A,25,4,DealHunter,0.18,0,0,0.18,1,0.05,0,0,0,1.66666666666667,NA,4,Low,1,0,0
138,2563,A,58,7,Explorer,0.05,0,0,0.24,0,0,0,0,0,6.76666666666667,NA,7,Low,1,0,0
139,5657,B,413,5,DealHunter,0.18,0.07,1,0.5,0,0,0,0,0,68.8333333333333,NA,10,Medium,1,0,0
140,3587,A,39,2,TargetedShopper,0.15,0,1,0.44,1,0.25,0,0,0,2.6,NA,4,Low,1,0,0
141,1872,B,81,3,Explorer,0.05,0.07,0,0.16,1,0.05,0,0,0,4.05,NA,3,Low,1,0,0
142,7354,B,34,10,Explorer,0.05,0.07,0,0.3,1,0.05,0,0,0,5.66666666666667,NA,10,Low,1,0,0
143,6920,A,21,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,1.05,NA,3,Low,1,0,0
144,4995,A,28,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,2.33333333333333,NA,5,Low,1,0,0
145,8406,A,32,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,1.6,NA,3,Low,1,0,0
146,8468,B,63,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,3.15,NA,3,Low,1,0,0
147,3753,A,91,8,TargetedShopper,0.15,0,0,0.26,1,0.05,0,0,0,12.133333333333301,NA,8,Low,1,0,0
148,14050,B,56,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,4.66666666666667,NA,5,Low,1,0,0
149,469,B,61,6,Explorer,0.05,0.07,0,0.22,1,0.05,0,0,0,6.1,NA,6,Low,1,0,0
150,11613,A,47,3,Explorer,0.05,0,0,0.16,1,0.05,0,0,0,2.35,NA,3,Low,1,0,0
151,292,A,113,3,DealHunter,0.18,0,0,0.16,0,0,0,0,0,5.65,NA,3,Low,1,0,0
152,5964,A,254,8,Explorer,0.05,0,0,0.26,0,0,0,0,0,33.8666666666667,NA,8,Low,1,0,0
153,1503,A,82,5,DealHunter,0.18,0,0,0.2,1,0.05,0,0,0,6.83333333333333,NA,5,Low,1,0,0
154,14238,B,100,5,HighIntent,0.3,0.07,0,0.2,0,0,0,0,0,8.33333333333333,NA,5,Low,1,0,0
155,2613,A,33,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,1.65,NA,3,Low,1,0,0
156,13541,B,47,11,TargetedShopper,0.15,0.07,0,0.32,0,0,0,0,0,8.61666666666667,NA,11,Low,1,0,0
157,2211,B,101,6,TargetedShopper,0.15,0.07,1,0.52,0,0,0,0,0,20.2,NA,12,Low,1,0,0
158,1250,A,49,3,Explorer,0.05,0,1,0.46,0,0,0,0,0,4.9,NA,6,Low,1,0,0
159,3408,A,60,2,TargetedShopper,0.15,0,0,0.14,0,0,0,0,0,2,NA,2,Low,1,0,0
160,2039,A,59,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,3.93333333333333,NA,4,Low,1,0,0
161,8296,B,20,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,1.66666666666667,NA,5,Low,1,0,0
162,5201,B,30,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,2.5,NA,5,Low,1,0,0
163,14599,A,58,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,3.86666666666667,NA,4,Low,1,0,0
164,5489,A,72,7,TargetedShopper,0.15,0,0,0.24,1,0.05,0,0,0,8.4,NA,7,Low,1,0,0
165,1951,B,26,1,TargetedShopper,0.15,0.07,0,0.12,0,0,0,0,0,0.433333333333333,NA,1,Low,1,0,0
166,3331,A,114,5,Explorer,0.05,0,0,0.2,0,0,0,0,0,9.5,NA,5,Low,1,0,0
167,7775,B,23,4,HighIntent,0.3,0.07,0,0.18,0,0,0,0,0,1.53333333333333,NA,4,Low,1,0,0
168,2899,B,184,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,12.2666666666667,NA,4,Low,1,0,0
169,1282,A,38,6,DealHunter,0.18,0,0,0.22,0,0,0,0,0,3.8,NA,6,Low,1,0,0
170,9626,A,62,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,4.13333333333333,NA,4,Low,1,0,0
171,6307,B,32,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,2.13333333333333,NA,4,Low,1,0,0
172,373,A,41,8,DealHunter,0.18,0,1,0.56,1,0.25,1,0.32,0,10.9333333333333,NA,16,Low,1,1,0
173,7712,B,46,5,HighIntent,0.3,0.07,0,0.2,1,0.05,0,0,0,3.83333333333333,NA,5,Low,1,0,0
174,7551,B,94,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,6.26666666666667,NA,4,Low,1,0,0
175,1206,A,111,6,HighIntent,0.3,0,0,0.22,0,0,0,0,0,11.1,NA,6,Low,1,0,0
176,9288,B,105,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,10.5,NA,6,Low,1,0,0
177,3078,A,76,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,5.06666666666667,NA,4,Low,1,0,0
178,5164,A,101,8,DealHunter,0.18,0,0,0.26,0,0,0,0,0,13.4666666666667,NA,8,Low,1,0,0
179,12884,B,79,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,3.95,NA,3,Low,1,0,0
180,12870,A,142,4,HighIntent,0.3,0,0,0.18,0,0,0,0,0,9.46666666666667,NA,4,Low,1,0,0
181,11873,B,59,6,DealHunter,0.18,0.07,1,0.52,1,0.25,0,0,0,11.8,NA,12,Low,1,0,0
182,5391,B,69,5,HighIntent,0.3,0.07,1,0.5,1,0.25,0,0,0,11.5,NA,10,Low,1,0,0
183,13662,B,115,4,TargetedShopper,0.15,0.07,0,0.18,0,0,0,0,0,7.66666666666667,NA,4,Low,1,0,0
184,10752,B,72,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,8.4,NA,7,Low,1,0,0
185,3675,A,36,6,TargetedShopper,0.15,0,0,0.22,1,0.05,0,0,0,3.6,NA,6,Low,1,0,0
186,8999,A,90,5,Explorer,0.05,0,0,0.2,1,0.05,0,0,0,7.5,NA,5,Low,1,0,0
187,5952,B,45,12,TargetedShopper,0.15,0.07,0,0.34,0,0,0,0,0,9,NA,12,Low,1,0,0
188,2773,B,93,2,TargetedShopper,0.15,0.07,0,0.14,0,0,0,0,0,3.1,NA,2,Low,1,0,0
189,4336,B,57,6,HighIntent,0.3,0.07,1,0.52,1,0.25,0,0,0,11.4,NA,12,Low,1,0,0
190,4241,B,104,3,Explorer,0.05,0.07,0,0.16,1,0.05,0,0,0,5.2,NA,3,Low,1,0,0
191,832,A,86,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,5.73333333333333,NA,4,Low,1,0,0
192,10640,A,105,8,TargetedShopper,0.15,0,0,0.26,1,0.05,0,0,0,14,NA,8,Low,1,0,0
193,9313,B,48,5,Explorer,0.05,0.07,0,0.2,1,0.05,0,0,0,4,NA,5,Low,1,0,0
194,9704,A,69,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,4.6,NA,4,Low,1,0,0
195,3562,A,43,6,TargetedShopper,0.15,0,1,0.52,0,0,0,0,0,8.6,NA,12,Low,1,0,0
196,4104,B,186,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,9.3,NA,3,Low,1,0,0
197,9184,B,115,6,Explorer,0.05,0.07,0,0.22,1,0.05,0,0,0,11.5,NA,6,Low,1,0,0
198,4719,B,126,2,HighIntent,0.3,0.07,1,0.44,0,0,0,0,0,8.4,NA,4,Low,1,0,0
199,6249,B,125,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,10.4166666666667,NA,5,Low,1,0,0
200,4660,A,74,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,7.4,NA,6,Low,1,0,0
201,1924,B,72,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,7.2,NA,6,Low,1,0,0
202,13899,B,78,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,5.2,NA,4,Low,1,0,0
203,4138,A,56,5,HighIntent,0.3,0,0,0.2,0,0,0,0,0,4.66666666666667,NA,5,Low,1,0,0
204,7503,A,258,4,DealHunter,0.18,0,1,0.48,1,0.25,0,0,0,34.4,NA,8,Low,1,0,0
205,10998,B,188,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,9.4,NA,3,Low,1,0,0
206,9692,B,46,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,3.06666666666667,NA,4,Low,1,0,0
207,11072,B,37,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,1.85,NA,3,Low,1,0,0
208,4856,A,80,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,5.33333333333333,NA,4,Low,1,0,0
209,4340,A,113,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,7.53333333333333,NA,4,Low,1,0,0
210,8814,B,40,5,HighIntent,0.3,0.07,0,0.2,0,0,0,0,0,3.33333333333333,NA,5,Low,1,0,0
211,14051,A,126,7,TargetedShopper,0.15,0,0,0.24,0,0,0,0,0,14.7,NA,7,Low,1,0,0
212,10734,A,53,6,DealHunter,0.18,0,0,0.22,0,0,0,0,0,5.3,NA,6,Low,1,0,0
213,3159,B,167,2,TargetedShopper,0.15,0.07,1,0.44,0,0,0,0,0,11.133333333333301,NA,4,Low,1,0,0
214,3131,A,54,3,DealHunter,0.18,0,0,0.16,0,0,0,0,0,2.7,NA,3,Low,1,0,0
215,404,A,75,2,DealHunter,0.18,0,0,0.14,0,0,0,0,0,2.5,NA,2,Low,1,0,0
216,11821,B,57,8,DealHunter,0.18,0.07,1,0.56,1,0.25,0,0,0,15.2,NA,16,Low,1,0,0
217,11304,B,103,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,5.15,NA,3,Low,1,0,0
218,12461,B,52,6,Explorer,0.05,0.07,0,0.22,0,0,0,0,0,5.2,NA,6,Low,1,0,0
219,11572,A,59,5,HighIntent,0.3,0,1,0.5,1,0.25,0,0,0,9.83333333333333,NA,10,Low,1,0,0
220,11449,A,195,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,16.25,NA,5,Low,1,0,0
221,4810,A,66,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,4.4,NA,4,Low,1,0,0
222,5537,B,224,7,Explorer,0.05,0.07,0,0.24,0,0,0,0,0,26.1333333333333,NA,7,Low,1,0,0
223,6324,A,17,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,1.41666666666667,NA,5,Low,1,0,0
224,4438,A,12,5,DealHunter,0.18,0,0,0.2,0,0,0,0,0,1,NA,5,Low,1,0,0
225,11791,A,277,3,TargetedShopper,0.15,0,0,0.16,0,0,0,0,0,13.85,NA,3,Low,1,0,0
226,2414,A,211,2,DealHunter,0.18,0,0,0.14,1,0.05,0,0,0,7.03333333333333,NA,2,Low,1,0,0
227,5653,A,98,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,8.16666666666667,NA,5,Low,1,0,0
